gene_symbol,de_score,de_celltypes,n_de_celltypes,max_log2fc,min_padj,pathway_score,n_pathways,pathway_names,lr_score,n_lr_interactions,lr_pairs,specificity_score,genetic_score,ot_genetic_score,has_genetic_evidence,druggability_score,convergence_bonus,composite_score,priority_tier,rank
TOR1AIP2,0.21586211629929863,Kupffer_cells,1,0.8904368652407321,0.0240462108604084,0.0,2,KRAS Signaling Up,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09317242325985974,LOW,922
CYP3A4,0.0,,0,0.0,1.0,0.0,0,,0.0,0,,0.0,0.16589184143083324,0.0,False,0.34409809507673694,False,0.09308767461921885,LOW,923
ABCG1,0.2152194228109045,Kupffer_cells,1,0.9921844810885024,0.0414824140707433,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.0930438845621809,LOW,924
PLEKHA2,0.21521665180659166,Kupffer_cells,1,0.9212586474091946,0.028860060814372,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09304333036131834,LOW,925
HRAS,0.0,,0,0.0,1.0,0.12000000000000001,19,Apical Junction; p53 Pathway; PI3K/AKT/mTOR  Signaling; Pperoxisome,0.5,20,HRAS-AGTR1; HRAS-INSR,0.0,0.0,0.0,False,0.0,False,0.093,LOW,926
HLA-B,0.0,,0,0.0,1.0,0.12000000000000001,6,Interferon Gamma Response,0.5,20,HLA-B-KLRD1; HLA-B-CD3D,0.0,0.0,0.0,False,0.0,False,0.093,LOW,927
ETHE1,0.2138849471964643,Kupffer_cells,1,0.962467230548984,0.0375030810042252,0.0,6,Cholesterol Homeostasis,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09277698943929287,LOW,928
NDUFB6,0.0,,0,0.0,1.0,0.38000000000000006,11,Oxidative Phosphorylation,0.0,0,,0.0,0.057492579293284024,0.0,False,0.14221162123918102,False,0.09270488800919817,LOW,929
MT-CYB,0.21290487249691636,CD4_T_cells,1,0.9476561107789468,0.0360983978232792,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09258097449938328,LOW,930
ZNF217,0.0,,0,0.0,1.0,0.0,0,,0.0,0,,0.0,0.285524676168674,0.459348509928364,True,0.13962605301123,False,0.09232507699385299,LOW,931
DDOST,0.21147675527020296,Kupffer_cells,1,0.8255681130092268,0.0204165905338893,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.0922953510540406,LOW,932
MPEG1,0.21044441614319806,Kupffer_cells,1,0.8498041140699778,0.0240462108604084,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09208888322863962,LOW,933
VAPA,0.17978054029037682,Kupffer_cells,1,0.7153651661486342,0.0392064961072839,0.04,4,Androgen Response,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09195610805807536,LOW,934
RPL7A,0.20906686207686745,Kupffer_cells,1,0.7546783068901359,0.0155817130758667,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09181337241537349,LOW,935
TPP1,0.19365246200226316,Kupffer_cells,1,0.7431897531476204,0.0265455514326521,0.02,18,E2F Targets; Myc Targets V2,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09173049240045264,LOW,936
AP2M1,0.19124700143863888,Kupffer_cells,1,0.7053001073588091,0.0239818978027656,0.02,12,Protein Secretion; PI3K/AKT/mTOR  Signaling,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09124940028772778,LOW,937
PTAFR,0.20602300333023918,Scar-associated_macrophages,1,0.904674201930852,0.0377285742118664,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09120460066604784,LOW,938
SCAMP2,0.2057790794843692,Kupffer_cells,1,0.7605264274197984,0.0182140868405392,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09115581589687384,LOW,939
IL17RA,0.18992899320473344,Scar-associated_macrophages,1,0.7553116933426554,0.0325827104910311,0.02,2,IL-6/JAK/STAT3 Signaling,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09098579864094669,LOW,940
IER2,0.20465504799525136,Kupffer_cells,1,0.683093858404656,0.01279584248739,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09093100959905027,LOW,941
RASSF5,0.20426849814220754,Scar-associated_macrophages,1,0.9178143813114396,0.0431630917076437,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09085369962844152,LOW,942
PLD4,0.20260164778315504,Scar-associated_macrophages,1,0.8790140353277209,0.0377285742118664,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09052032955663102,LOW,943
CHP1,0.2013673732451544,Kupffer_cells,1,0.8940435617995144,0.0427209186762316,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09027347464903089,LOW,944
TWF2,0.20041338265310135,Kupffer_cells,1,0.8839981487098945,0.0420937179029986,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09008267653062027,LOW,945
GNAI2,0.0,,0,0.0,1.0,0.1,7,Apical Junction; Complement,0.5,20,GNAI2-CAV1,0.0,0.0,0.0,False,0.0,False,0.09,LOW,946
HLA-E,0.0,,0,0.0,1.0,0.1,3,Allograft Rejection,0.5,20,HLA-E-CD8B; HLA-E-CD8A; HLA-E-KLRC1_KLRD1,0.0,0.0,0.0,False,0.0,False,0.09,LOW,947
C1QA,0.0,,0,0.0,1.0,0.1,6,Complement; Coagulation,0.5,20,C1QA-CR1; C1QA-CD33; C1QA-CD93,0.0,0.0,0.0,False,0.0,False,0.09,LOW,948
RPS19,0.0,,0,0.0,1.0,0.1,5,Allograft Rejection,0.5,20,RPS19-C5AR1,0.0,0.0,0.0,False,0.0,False,0.09,LOW,949
ITGAL,0.0,,0,0.0,1.0,0.1,5,Allograft Rejection,0.5,20,ICAM3-ITGAL; ICAM4-ITGAL,0.0,0.0,0.0,False,0.0,False,0.09,LOW,950
ALKBH7,0.19997419826180216,Kupffer_cells,1,0.8807042657751506,0.0420937179029986,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.08999483965236044,LOW,951
CEPT1,0.19980638639734755,Kupffer_cells,1,0.879445676791741,0.0420937179029986,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.08996127727946951,LOW,952
SLC8A1,0.19939385291219577,Kupffer_cells,1,0.7664014934104858,0.0239818978027656,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.08987877058243916,LOW,953
INPP4A,0.19853567889181034,Scar-associated_macrophages,1,0.8354239456425406,0.0352833388430212,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.08970713577836208,LOW,954
RUFY3,0.1976155440563935,Kupffer_cells,1,0.8404467069984531,0.0375030810042252,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.0895231088112787,LOW,955
RAP1B,0.1971121462872777,Kupffer_cells,1,0.8477467376645046,0.0396898265635674,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.08942242925745554,LOW,956
FERMT3,0.1966436827332561,Kupffer_cells,1,0.8274246131928679,0.03641888542938,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.08932873654665123,LOW,957
CMTM6,0.19609208050535037,Kupffer_cells,1,0.8396352674533053,0.039596318429017,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.08921841610107008,LOW,958
GPR34,0.1948604606860444,Kupffer_cells,1,0.8423512339569674,0.0420937179029986,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.08897209213720889,LOW,959
RABAC1,0.19478803264464775,Kupffer_cells,1,0.7544126618576911,0.0269156809184343,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.08895760652892956,LOW,960
MFSD1,0.19469105703176687,Kupffer_cells,1,0.7476539204447232,0.0260976982887983,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.08893821140635338,LOW,961
HEXA,0.17802213720858379,Kupffer_cells,1,0.6874435739598985,0.0363594048992719,0.02,3,Hypoxia,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.08860442744171676,LOW,962
RPL28,0.1913101618840461,Endothelial_capillary,1,0.8380688177924542,0.0471924422000305,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.08826203237680923,LOW,963
CLIC2,0.190887292689418,Kupffer_cells,1,0.7588311431251928,0.03197691415381,0.0,3,heme Metabolism,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.08817745853788361,LOW,964
CAPZB,0.18655594299725486,Kupffer_cells,1,0.6913174543554316,0.0267297743841628,0.0,3,Mitotic Spindle,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.08731118859945097,LOW,965
ATP5J2,0.18592057384561306,Kupffer_cells,1,0.6879067208649308,0.0269156809184343,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.0871841147691226,LOW,966
SIRPA,0.0,,0,0.0,1.0,0.08,3,Apical Junction,0.5,20,CSF1-SIRPA; VEGFA-SIRPA; VWF-SIRPA,0.0,0.0,0.0,False,0.0,False,0.087,LOW,967
TFF3,0.0,,0,0.0,1.0,0.08,18,Estrogen Response Late; Glycolysis; Estrogen Response Early,0.5,20,TFF3-CXCR4,0.0,0.0,0.0,False,0.0,False,0.087,LOW,968
GRN,0.0,,0,0.0,1.0,0.08,5,Glycolysis; Myogenesis,0.5,20,GRN-CLEC4M; GRN-TNFRSF1B; GRN-TNFRSF1A,0.0,0.0,0.0,False,0.0,False,0.087,LOW,969
CCRL2,0.0,,0,0.0,1.0,0.08,3,Inflammatory Response; Interferon Alpha Response,0.5,20,CCL5-CCRL2; RARRES2-CCRL2,0.0,0.0,0.0,False,0.0,False,0.087,LOW,970
